Fecha,Prediccion_NN
2013-11-19,897.8868
2013-11-20,904.7091
2013-11-21,911.5313
2013-11-22,918.3535
2013-11-23,925.1757
2013-11-24,931.99786
2013-11-25,938.82
2013-11-26,945.6423
2013-11-27,952.46454
2013-11-28,959.2867
2013-11-29,966.10876
2013-11-30,972.93097
2013-12-01,779.79205
2013-12-02,786.60474
2013-12-03,793.4178
2013-12-04,800.23157
2013-12-05,807.05
2013-12-06,813.87415
2013-12-07,820.6986
2013-12-08,827.52295
2013-12-09,834.3474
2013-12-10,841.1719
2013-12-11,847.99615
2013-12-12,854.82025
2013-12-13,861.6445
2013-12-14,868.4689
2013-12-15,875.2934
2013-12-16,882.1181
2013-12-17,888.9425
2013-12-18,895.76654
2013-12-19,902.5893
2013-12-20,909.41156
2013-12-21,916.2337
2013-12-22,923.05597
2013-12-23,929.8782
2013-12-24,936.7004
2013-12-25,943.5225
2013-12-26,950.3447
2013-12-27,957.1668
2013-12-28,963.9891
2013-12-29,970.8112
2013-12-30,977.6334
2013-12-31,984.4556
2014-01-01,733.1508
2014-01-02,738.6568
2014-01-03,744.39154
2014-01-04,750.42554
2014-01-05,756.59283
2014-01-06,762.89276
2014-01-07,769.366
2014-01-08,776.17865
2014-01-09,782.9913
2014-01-10,789.80457
2014-01-11,796.6177
2014-01-12,803.43286
2014-01-13,810.25714
2014-01-14,817.0815
2014-01-15,823.90594
2014-01-16,830.73035
2014-01-17,837.55475
2014-01-18,844.37933
2014-01-19,851.2038
2014-01-20,858.02856
2014-01-21,864.8534
2014-01-22,871.67816
2014-01-23,878.5025
2014-01-24,885.3268
2014-01-25,892.1507
2014-01-26,898.9731
2014-01-27,905.7955
2014-01-28,912.6176
2014-01-29,919.4399
2014-01-30,926.262
2014-01-31,933.0842
2014-02-01,736.9733
2014-02-02,742.63165
2014-02-03,748.5091
2014-02-04,754.6766
2014-02-05,760.9101
2014-02-06,767.307
2014-02-07,774.0621
2014-02-08,780.8748
2014-02-09,787.68774
2014-02-10,794.5009
2014-02-11,801.31445
2014-02-12,808.13666
2014-02-13,814.96106
2014-02-14,821.78546
2014-02-15,828.60986
2014-02-16,835.4343
2014-02-17,842.25885
2014-02-18,849.0833
2014-02-19,855.9079
2014-02-20,862.7327
2014-02-21,869.55743
2014-02-22,876.38196
2014-02-23,883.20636
2014-02-24,890.0306
2014-02-25,896.85345
2014-02-26,903.6757
2014-02-27,910.4979
2014-02-28,917.3201
2014-03-01,740.8747
2014-03-02,746.6768
2014-03-03,752.7603
2014-03-04,758.92755
2014-03-05,765.28937
2014-03-06,771.9456
2014-03-07,778.75824
2014-03-08,785.5711
2014-03-09,792.3843
2014-03-10,799.1976
2014-03-11,806.0163
2014-03-12,812.8406
2014-03-13,819.665
2014-03-14,826.4894
2014-03-15,833.3138
2014-03-16,840.13837
2014-03-17,846.96277
2014-03-18,853.7873
2014-03-19,860.6121
2014-03-20,867.43677
2014-03-21,874.26135
2014-03-22,881.0857
2014-03-23,887.91016
2014-03-24,894.7336
2014-03-25,901.556
